"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Little Rock-North Little Rock-Conway, AR","30780",2023,365,122,238,4,1,0,0,174,79,55,0,0,60,305,0
"Logan, UT-ID","30860",2023,365,218,139,4,4,0,0,187,71,48,0,0,237,128,0
"Longview, TX","30980",2023,365,304,59,1,1,0,0,151,67,35,0,1,364,0,0
"Longview, WA","31020",2023,365,323,42,0,0,0,0,89,52,22,0,0,0,365,0
"Los Alamos, NM","31060",2023,121,121,0,0,0,0,0,50,27,14,0,0,0,121,0
"Los Angeles-Long Beach-Anaheim, CA","31080",2023,365,41,237,52,32,3,0,210,147,67,0,5,150,203,7
"Louisville/Jefferson County, KY-IN","31140",2023,365,117,227,20,1,0,0,182,83,55,0,2,103,260,0
"Lubbock, TX","31180",2023,364,323,40,0,1,0,0,161,52,25,0,0,0,364,0
"Ludington, MI","31220",2023,221,178,41,2,0,0,0,143,67,40,0,0,221,0,0
"Lynchburg, VA","31340",2023,119,93,24,2,0,0,0,135,58,34,0,0,0,119,0
"Macon, GA","31420",2023,351,136,211,3,1,0,0,157,71,53,0,0,44,307,0
"Madera, CA","31460",2023,365,162,188,14,1,0,0,151,84,52,0,0,210,135,20
"Madison, WI","31540",2023,365,181,159,20,2,3,0,268,83,51,0,0,115,250,0
"Manchester-Nashua, NH","31700",2023,365,305,55,5,0,0,0,119,58,39,3,0,293,69,0
"Manitowoc, WI","31820",2023,205,162,40,2,1,0,0,177,71,40,0,0,205,0,0
"Marietta, OH","31930",2023,238,206,32,0,0,0,0,100,54,42,0,0,238,0,0
"Marshall, MN","32140",2023,361,206,142,10,3,0,0,173,78,46,0,0,120,241,0
"Marshall, TX","32220",2023,359,207,151,1,0,0,0,111,65,47,0,1,136,222,0
"Mason City, IA","32380",2023,60,58,2,0,0,0,0,56,41,19,0,0,0,0,60
"Mayaguez, PR","32420",2023,285,254,31,0,0,0,0,64,51,25,0,0,77,208,0
"McAlester, OK","32540",2023,355,196,152,7,0,0,0,119,69,49,0,0,153,202,0
"McAllen-Edinburg-Mission, TX","32580",2023,357,206,151,0,0,0,0,95,68,44,0,0,19,338,0
"Medford, OR","32780",2023,365,216,135,2,7,5,0,237,69,45,0,0,98,267,0
"Memphis, TN-MS-AR","32820",2023,365,104,246,15,0,0,0,140,82,55,0,0,125,240,0
"Merced, CA","32900",2023,365,171,179,15,0,0,0,129,87,51,0,0,220,131,14
"Meridian, MS","32940",2023,242,227,15,0,0,0,0,87,48,38,0,0,242,0,0
"Miami, OK","33060",2023,364,141,215,7,1,0,0,162,76,54,0,0,70,287,7
"Miami-Fort Lauderdale-West Palm Beach, FL","33100",2023,365,136,225,1,3,0,0,170,67,53,0,13,50,302,0
